Phage,Taxonomy
KC139512,Viruses
KC139514,Viruses
KC139515,Viruses
KC139517,Viruses
KC139518,Viruses
KC139519,Viruses
KC139520,Viruses
KC139521,Viruses
KC171646,Viruses
KC171647,Viruses
KC172839,Viruses
KC237729,Viruses
KC252997,Viruses
KC292020,Viruses
KC292021,Viruses
KC292022,Viruses
KC292023,Viruses
KC292024,Viruses
KC292025,Viruses
KC292026,Viruses
KC292027,Viruses
KC292028,Viruses
KC292029,Viruses
KC310802,Viruses
KC310803,Viruses
KC310804,Viruses
KC310806,Viruses
KC311669,Viruses
KC330679,Viruses
KC330680,Viruses
KC330681,Viruses
KC330683,Viruses
KC330684,Viruses
KC342645,Viruses
KC357596,Viruses
KC438282,Viruses
KC438283,Viruses
KC462197,Viruses
KC465898,Viruses
KC465899,Viruses
KC465900,Viruses
KC465901,Viruses
KC481682,Viruses
KC522412,Viruses
KC556893,Viruses
KC556894,Viruses
KC556895,Viruses
KC556896,Viruses
KC556898,Viruses
KC576783,Viruses
KC576784,Viruses
KC595278,Viruses
KC595279,Viruses
KC595518,Viruses
KC661271,Viruses
KC661272,Viruses
KC661273,Viruses
KC661274,Viruses
KC661275,Viruses
KC661276,Viruses
KC661277,Viruses
KC661278,Viruses
KC661279,Viruses
KC661280,Viruses
KC661281,Viruses
KC677662,Viruses
KC677663,Viruses
KC685370,Viruses
KC688701,Viruses
KC690136,Viruses
KC691254,Viruses
KC691255,Viruses
KC691256,Viruses
KC691257,Viruses
KC691258,Viruses
KC700556,Viruses
KC700557,Viruses
KC700558,Viruses
KC701493,Viruses
KC710998,Viruses
KC736071,Viruses
KC748968,Viruses
KC748969,Viruses
KC748970,Viruses
KC748971,Viruses
KC751414,Viruses
KC787105,Viruses
KC787106,Viruses
KC787107,Viruses
KC787108,Viruses
KC787110,Viruses
KC801932,Viruses
KC814930,Viruses
KC821604,Viruses
KC821605,Viruses
KC821606,Viruses
KC821607,Viruses
KC821608,Viruses
KC821609,Viruses
KC821610,Viruses
KC821611,Viruses
KC821612,Viruses
KC821613,Viruses
KC821614,Viruses
KC821615,Viruses
KC821616,Viruses
KC821617,Viruses
KC821618,Viruses
KC821619,Viruses
KC821620,Viruses
KC821621,Viruses
KC821622,Viruses
KC821623,Viruses
KC821624,Viruses
KC821625,Viruses
KC821626,Viruses
KC821627,Viruses
KC821628,Viruses
KC821629,Viruses
KC821630,Viruses
KC821631,Viruses
KC821632,Viruses
KC821633,Viruses
KC821634,Viruses
KC832325,Viruses
KC853746,Viruses
KC862295,Viruses
KC862296,Viruses
KC862297,Viruses
KC862298,Viruses
KC862299,Viruses
KC862300,Viruses
KC862301,Viruses
KC900379,Viruses
KC911856,Viruses
KC911857,Viruses
KC954774,Viruses
KC959568,Viruses
KC960489,Viruses
KF005317,Viruses
KF005318,Viruses
KF005319,Viruses
KF005320,Viruses
KF006818,Viruses
KF010834,Viruses
KF017001,Viruses
KF017002,Viruses
KF017003,Viruses
KF017004,Viruses
KF017005,Viruses
KF024721,Viruses
KF024723,Viruses
KF024724,Viruses
KF024725,Viruses
KF024726,Viruses
KF024727,Viruses
KF024728,Viruses
KF024729,Viruses
KF024730,Viruses
KF024731,Viruses
KF024732,Viruses
KF024733,Viruses
KF044309,Viruses
KF044310,Viruses
KF056323,Viruses
KF114874,Viruses
KF114875,Viruses
KF147891,Viruses
KF148616,Viruses
KF156338,Viruses
KF156339,Viruses
KF156340,Viruses
KF183314,Viruses
KF183315,Viruses
KF188410,Viruses
KF188458,Viruses
KF208639,Viruses
KF279411,Viruses
KF279412,Viruses
KF279413,Viruses
KF279414,Viruses
KF279415,Viruses
KF279416,Viruses
KF279417,Viruses
KF296718,Viruses
KF301602,Viruses
KF306380,Viruses
KF322026,Viruses
KF322032,Viruses
KF356198,Viruses
KF361475,Viruses
KF416340,Viruses
KF416341,Viruses
KF416342,Viruses
KF416343,Viruses
KF416344,Viruses
KF475786,Viruses
KF493879,Viruses
KF493880,Viruses
KF493881,Viruses
KF493882,Viruses
KF493883,Viruses
KF534715,Viruses
KF550303,Viruses
KF554508,Viruses
KF560330,Viruses
KF560331,Viruses
KF560332,Viruses
KF560333,Viruses
KF560334,Viruses
KF562099,Viruses
KF562100,Viruses
KF562101,Viruses
KF562102,Viruses
KF562340,Viruses
KF562341,Viruses
KF562864,Viruses
KF562865,Viruses
KF582788,Viruses
KF589919,Viruses
KF598856,Viruses
KF598865,Viruses
KF614509,Viruses
KF620435,Viruses
KF623293,Viruses
KF623294,Viruses
KF626666,Viruses
KF626667,Viruses
KF669647,Viruses
KF669648,Viruses
KF669649,Viruses
KF669650,Viruses
KF669651,Viruses
KF669652,Viruses
KF669653,Viruses
KF669654,Viruses
KF669655,Viruses
KF669656,Viruses
KF669657,Viruses
KF669658,Viruses
KF669659,Viruses
KF669660,Viruses
KF669661,Viruses
KF669662,Viruses
KF669663,Viruses
KF676640,Viruses
KF692088,Viruses
KF700371,Viruses
KF713485,Viruses
KF713486,Viruses
KF728385,Viruses
KF733017,Viruses
KF766114,Viruses
KF771236,Viruses
KF771237,Viruses
KF771238,Viruses
KF771239,Viruses
KF771641,Viruses
KF772233,Viruses
KF772234,Viruses
KF787094,Viruses
KF787095,Viruses
KF806588,Viruses
KF806589,Viruses
KF811200,Viruses
KF831354,Viruses
KF841475,Viruses
KF841476,Viruses
KF841477,Viruses
KF856712,Viruses
KF861510,Viruses
KF926093,Viruses
KF929199,Viruses
KF954506,Viruses
KF959563,Viruses
KF971864,Viruses
KF977490,Viruses
KF981601,Viruses
KF981730,Viruses
KF981875,Viruses
KF981876,Viruses
KF986246,Viruses
KF986247,Viruses
KJ000058,Viruses
KJ002054,Viruses
KJ010489,Viruses
KJ025956,Viruses
KJ025957,Viruses
KJ094020,Viruses
KJ094021,Viruses
KJ094022,Viruses
KJ094023,Viruses
KJ094029,Viruses
KJ094030,Viruses
KJ094031,Viruses
KJ094032,Viruses
KJ094033,Viruses
KJ101592,Viruses
KJ127303,Viruses
KJ135004,Viruses
KJ140076,Viruses
KJ156985,Viruses
KJ159566,Viruses
KJ173786,Viruses
KJ174156,Viruses
KJ174157,Viruses
KJ190157,Viruses
KJ190158,Viruses
KJ192399,Viruses
KJ194581,Viruses
KJ194582,Viruses
KJ194584,Viruses
KJ194585,Viruses
KJ210330,Viruses
KJ395778,Viruses
KJ409696,Viruses
KJ409772,Viruses
KJ410132,Viruses
KJ410133,Viruses
KJ410134,Viruses
KJ419279,Viruses
KJ451625,Viruses
KJ473422,Viruses
KJ473423,Viruses
KJ477077,Viruses
KJ489010,Viruses
KJ489011,Viruses
KJ489012,Viruses
KJ489013,Viruses
KJ489397,Viruses
KJ507099,Viruses
KJ507100,Viruses
KJ510412,Viruses
KJ510413,Viruses
KJ510414,Viruses
KJ510415,Viruses
KJ528544,Viruses
KJ534580,Viruses
KJ535721,Viruses
KJ535722,Viruses
KJ538721,Viruses
KJ538722,Viruses
KJ564036,Viruses
KJ564037,Viruses
KJ564038,Viruses
KJ567041,Viruses
KJ567042,Viruses
KJ567043,Viruses
